1,スマホのようなもの,冒険のヒント等を見る事ができる。
\C[0]顔バレで炎上し、住処を追われている
99,マスタベフナ,レアリティ:\C[17]★
\C[0]趣味はサメ映画の発掘
100,ソーロットムール貝,レアリティ:\C[17]★
\C[0]生き別れの弟を探している
101,コピピアサリ,レアリティ:\C[17]★
\C[0]心を許した者にのみ開くため、まずは友達になろう
102,ビブラートガキ,レアリティ:\C[17]★
\C[0]食べると腹から断末魔が聞こえる
103,バンジーエビ,レアリティ:\C[17]★
\C[0]ﾊﾞﾝｼﾞｰｼﾞｬﾝﾌﾟを嗜み、よく滝から降ってくる
104,ニテツイカ,レアリティ:\C[17]★
\C[0]匿名掲示板で悪口を書きまくっている
105,アイアイコンブ,レアリティ:\C[17]★
\C[0]自分の事をお猿さんだと思い込んでいる
106,,
107,ナナメマグロ,レアリティ:\C[17]★★
\C[0]泳ぐと死んでしまう
108,クソガキワカサギ,レアリティ:\C[17]★★
\C[0]この世界に必要なのは武力と圧政だと考えている
109,カロウシキンメダイ,レアリティ:\C[17]★★
\C[0]キンメダイってタイじゃないらしい・・・
110,サブレカツオ,レアリティ:\C[17]★★
\C[0]推しが炎上した
111,マスタベフグ,レアリティ:\C[17]★★
\C[0]鼻毛が異常に伸びる猛毒を持った魚
112,ソーロットウナギ,レアリティ:\C[17]★★
\C[0]得意科目は保健体育
113,コピピハギ,レアリティ:\C[17]★★
\C[0]剥ぐ前に「ほんとに剥ぐの？」と何度も聞いてくる
114,ビブラートイワシ,レアリティ:\C[17]★★
\C[0]必殺技は「腰をいわしたw」
115,バンジーダツ,レアリティ:\C[17]★★
\C[0]超攻撃的で、釣ったら顔を褒めないと殺される
116,ニテツカニ,レアリティ:\C[17]★★
\C[0]面接で受かったことが無い悲しいカニ
117,アイアイダコ,レアリティ:\C[17]★★
\C[0]自分が好物で、ワサビと醤油を持ち歩いている
118,,
119,ナナメブリ,レアリティ:\C[17]★★★
\C[0]飛行形態に変形する事が出来る
120,クソガキメバル,レアリティ:\C[17]★★★
\C[0]昔ネットに書いた書き込みがミームになった
121,カロウシサーモン,レアリティ:\C[17]★★★
\C[0]26連勤中
122,サブレウツボ,レアリティ:\C[17]★★★
\C[0]フロッグシグマや捕食者を食べる
123,マスタベアンコウ,レアリティ:\C[17]★★★
\C[0]作っているゲームが一生完成しない
124,ソーロットカジキ,レアリティ:\C[17]★★★
\C[0]高級魚の自覚が無いのですぐ釣られる
125,コピピトビウオ,レアリティ:\C[17]★★★
\C[0]成長すると雄大な翼をその身に宿し、大空へ羽ばたく
126,ビブラートイタチウオ,レアリティ:\C[17]★★★
\C[0]カラオケがめちゃくちゃ上手い
127,バンジーシャーク,レアリティ:\C[17]★★★
\C[0]お母さん以外には強気
128,ニテツオトシゴ,レアリティ:\C[17]★★★
\C[0]ソシャゲのシナリオを全部スキップする
129,アイアイエビ,レアリティ:\C[17]★★★
\C[0]エビの王様。部下はいない
130,ミスターイトウ,レアリティ:\C[17]★★★★
\C[0]幻の淡水魚。滑舌がめちゃくちゃ悪い
131,ダリャリャガニ,レアリティ:\C[17]★★★★
\C[0]とある戦闘民族の末裔。弱すぎて絶滅危惧種に
132,アイリスマモンナイト,レアリティ:\C[17]★★★★
\C[0]激レアの軟体生物。週3でサウナに行く
133,ドチクショニシキゴイ,レアリティ:\C[17]★★★★
\C[0]そもそも私達は釣られたかったわけではない。ここの素晴らしい
134,ギンガ・ク・リオネ,レアリティ:\C[17]★★★★★
\C[0]透明の美しい姿をしているが、クチャラーの肉食。
135,人類の汚点,レアリティ:-
海はお前のゴミ箱ではない
136,頭ﾌﾟﾙﾌﾟﾙﾁﾝﾁﾝﾌﾟｯﾁﾝﾌﾟﾘﾝ,戦闘不能の味方全員を蘇生し、鉄壁を付与する。
【戦闘時限定】【デブ付与(0%)】
137,解放のペンダント,不思議なチカラで 1度だけ苦難な状況を
打開できるありがた～いアイテム・・・らしい。
138,謎の鍵,何処で使う物なのか一切わからない
謎の鍵。
139,沼鉱石,レアリティ:\C[17]★
\C[0]主に建築物等で使われる汎用性の高い鉱石。
140,ゴミーメタル,レアリティ:\C[17]★
\C[0]重くて重厚感のある、武器の加工に適した鉱石。
141,バカライト鉱石,レアリティ:\C[17]★
\C[0]多彩な用途があり、安価ながら需要の高い鉱石。
142,ザツストーン,レアリティ:\C[17]★
\C[0]微かに冷気を放っている不思議な石。
143,バンジークォーツ,レアリティ:\C[17]★
\C[0]微弱な妖気が込められた魔石。
144,マザイアナイト,レアリティ:\C[17]★
\C[0]目が覚めるような輝きを放つ鉱石。
145,二徹石,レアリティ:\C[17]★★
\C[0]持つ者は病弱になってしまう いわくつきの石。
146,スナシキクォーツ,レアリティ:\C[17]★★
\C[0]色あせた水晶だが、加工次第で鮮やかに光る。
147,ホモビメタル,レアリティ:\C[17]★★
\C[0]大きくて硬い """"漢""""らしい鉱石。
148,マザイアクォーツ,レアリティ:\C[17]★★★
\C[0]周辺の酸素濃度が上昇し、身体が軽くなる魔結晶。
149,エラーストーン,レアリティ:\C[17]★★★
\C[0]電気を蓄積する性質のある鉱石。
150,リアルウン鉱石,レアリティ:\C[17]★★★
\C[0]マニアからは定評のある、芳醇な香りがする鉱石。
151,アニサキ水晶,レアリティ:\C[17]★★★
\C[0]他の鉱石に寄生するように生成される希少な水晶。
152,ガイポライト鉱石,レアリティ:\C[17]★★★
\C[0]寒冷地で生成される、清涼感が美しい天然石。
153,ヌマジスト,レアリティ:\C[17]★★★
\C[0]僅かな闇のチカラを感じる守護石。
154,デアエルビー,レアリティ:\C[17]★★★★★
\C[0]五大貴石の一つ。赤く輝く宝石の女王。
155,デアエサファイア,レアリティ:\C[17]★★★★★
\C[0]五大貴石の一つ。透き通った蒼が見た者を虜にする。
156,ﾀｲｼｮｸｴﾒﾗﾙﾄﾞ,レアリティ:\C[17]★★★★★
\C[0]五大貴石の一つ。美しくカットするのは至難の業。
157,ﾒﾉﾏｴﾆﾀﾞｲﾔﾓﾝﾄﾞ,レアリティ:\C[17]★★★★★
\C[0]五大貴石の一つ。大人が忘れた無垢な輝きを放つ。
158,シグマサンドライト,レアリティ:\C[17]★★★★★
\C[0]五大貴石の一つ。類を見ない輝きは皆伝制覇の証。
159,マイドニウム結晶,レアリティ:\C[17]★★★★★
\C[0]この世界で最も希少価値の高い正体不明の鉱物。
160,下水天然水,クソガキ地下水道で手に入れたあるものを
作るための材料。
161,Gスティック&ボール,アラサーピラミッド下層で手に入れたあるものを
作るための材料。
162,メタポメの産毛,ローリング山脈の秘境で手に入れたあるものを
作るための材料。
163,賢者モードの石,マスタベタウンで手に入れたあるものを
作るための材料。
164,イチゴダイフク,ニンジンタウンで手に入れたフサキンの好物。
165,ペンダントのレシピ,総本山で手に入れたなにかのマニュアル。
166,謎の出土品,採掘で手に入れた謎の物体。

167,謎の出土品,採掘で手に入れた謎の物体。

168,謎の出土品,採掘で手に入れた謎の物体。

169,禁忌のマザイ箱,秘密屋特製の マザイがランダムに 梱包されている。
使用することで 中身を入手する。
170,禁忌のマザイ:HP,最大HPが 20上昇する。
171,禁忌のマザイ:MP,最大MPが 10上昇する。
172,禁忌のマザイ:ATK,最大攻撃力が 4上昇する。
173,禁忌のマザイ:DEF,最大防御力が 4上昇する。
174,禁忌のマザイ:AGI,最大敏捷性が 4上昇する。
175,イチゴダイフク,味方一人のAPPを 40チャージする幻の菓子。
入手難度の高さから 転売で稼ぐ輩も。
176,ズゾゾコーヒー,味方一人のMPを 30回復する。
177,マスタベ団子,味方一人のHPを 50回復する。
178,サッチュボンバ,敵全体にダメージ。虫系のエネミーに効果絶大！
【物:\I[6142]】
179,特産りんご,味方一人のAPPを 10チャージする。
180,チャフボンバ,敵全体にダメージ。マシン系のエネミーに効果絶大！
【物:\I[6142]】
181,フサフサインク,戦闘中に使うと 敵全体に確率で目潰し効果。
【目潰し付与(80%)】
182,アチチマッチ,発火する木の棒。
氷漬けの味方を治す事が出来るが軽度のダメージを負う
183,ツルハシ,鉱石を 採掘できる。
破壊確率･40%
184,スーパーツルハシ,鉱石を 採掘できる。レアな鉱石が 出やすい。
破壊確率･20%
185,ゴッドツルハシ,鉱石を 採掘できる。レアな鉱石が かなり出やすい。
破壊確率･10%
186,アルティメットツルハシ,鉱石を 採掘できる。レアな鉱石が 一番出やすい。
破壊確率･10%
187,ワビストーン,ヤミナベクリスタルに捧げると・・・？
188,ヘソクソ,売却用アイテム。
小遣い程度には なりそう。
189,ｺﾞｰﾙﾃﾞﾝﾍｿｸｿ,売却用アイテム。
最高の錬成素材にも なりそうだ。
190,,
191,固形物質,一応体力を100回復する。
192,ゲロ,マジで利用価値が無い。スペースの無駄
193,うんこ,うんこになる
194,悪臭うんこ,相手は死ぬ(ボスなど特殊な敵には無効)
195,特濃うんこ,相手は全員死ぬ(ボスなど特殊な敵には無効)
196,遺跡の鍵,どこかの扉を開く鍵。
197,EXPマザイ,味方一人のEXPが10000上昇する。
198,書庫の鍵,総本山のとある部屋の鍵のようだ。
199,ゾラ手羽,食べると最大HPの半分のダメージを受け、
インフル状態になるゴミ。
200,ネカマツルハシ,ネカマッドチャレンジ専用のツルハシ。
最初からボロボロな気がする。
201,,
202,,
203,,
204,,
205,なし,
206,戻る,交換をキャンセルします。
207,,
208,MDカードキー,社員に渡されるカードキー。
209,,
210,,
211,,
212,ロッド,ロッドスポットで魚釣りが出来る 消耗品。
213,ハイロッド,ロッドスポットで魚釣りが出来る 消耗品。
レアリティの高い獲物が かかりやすい上物。
214,タイコウボウ,ロッドスポットで魚釣りが出来る。
逃げられない限り 消耗しない 特上物。
215,キーハンドル,ゲートを開くために必要な取り付け型のハンドル。
216,メインゲートの鍵,ゲートを開くために必要な社員の持つ鍵。
217,マインディーカードキー,社員に渡されるカードキー。
ほぼすべてのセキュリティーを解除できる。
218,ザウルスメダル,隠れザウルスを確認した証。
いらない。
219,ザウルスエキス,ヤベーエキス。
220,ソウルハート,数多の死闘の記憶が宿った 魂の宝珠。
どうやら鑑定する必要がありそうだ。
221,ツワモノの証,強敵をその手で倒した証。
まだ見ぬ強敵がシグキン達を待っている・・・
222,錆びついたロッド,錆びついてしまったロッド。
とある鉱石があれば修繕できるらしい。
223,,
224,小さな鍵,錆びついた小さな鍵。
225,B棟の鍵,管制塔のB棟へ入ることが出来る鍵。
226,,
227,ハウジングパス,マイルームの登録に使用する許可証。
228,戻る,ルームユニットの設置をキャンセルします。
229,,
230,シンプルミニチェア,シンプルな木製の丸椅子。
【サイズ:1×1】
231,シンプルチェア,背もたれの付いた木製の椅子。
【サイズ:1×1】【向き変更可】
232,シンプルベッド,背もたれの付いた木製のベッド。
【サイズ:1×1】
233,シンプルデスク,シンプルな木製の机。
【サイズ:1×1】
234,シンプルクロゼット,シンプルな木製のクロゼット。
【サイズ:1×2】
235,シンプルキャビネット,シンプルな木製のキャビネット。
【サイズ:1×2】
236,シンプルシェルフ,シンプルな木製の本棚。
【サイズ:1×3】
237,シンプルテーブル,シンプルな木製のテーブル。
【サイズ:2×1】【向き変更可】
238,シンプルラック,シンプルな木製の収納家具。
【サイズ:1×3】
239,シンプルソファ,シンプルな木製のソファ。
【サイズ:2×1】【向き変更可】
240,シンプルラージシェルフ,シンプルな木製の大型収納家具。
【サイズ:2×3】
241,シンプルクロック,シンプルな木製の振り子時計。
【サイズ:1×2】
242,オ・サーラ,シンプルな空のお皿。
【サイズ:1×1】
243,オ・サーラB,シンプルな空のお皿。何枚も重なっている。
【サイズ:1×1】
244,,
245,,
246,バサスプレッソ,芳醇な香りが漂う紳士の嗜み。
【サイズ:1×1】
247,コールド・ビアンコ,キンキンに冷えてやがるぜ
【サイズ:1×1】
248,デキャンタグラス,空っぽのデキャンタとグラス。
【サイズ:1×1】
249,ハルボン・ロッソ,愛好家に定評のあるすっきりとした味わいのワイン。
【サイズ:1×1】
250,デスクリキュール,未成年は呑むことが許されないと言う謎の飲料。
【サイズ:1×1】
251,クレイジーポーション,仕事の疲れに染み渡る発泡性の飲み物。
【サイズ:1×1】
252,,
253,レターセット,誰かへの手紙か、作品の執筆か・・・
【サイズ:1×1】【向き変更可】
254,ブンガクブック,部屋に本を飾って知的になろう！
【サイズ:1×1】【タイプ変更可】
255,ブンガクブックB,部屋に本を飾って知的になろう！
【サイズ:1×1】【タイプ変更可】
256,デスククロック,小さくて何処にでも置きやすい置時計。
【サイズ:1×1】
257,デスクブック,本の世界が卓上に広がる一品。
【サイズ:1×1】
258,コンパクトマット,マットとランプのアウトドア用品。
【サイズ:1×1】
259,ムゾウサ書類,無造作に散らかった書類。
【サイズ:1×1】
260,オールドマップ,古紙に写された世界地図。
【サイズ:1×1】
261,ペーパロール,研究資料を思わせる書類の巻物。
【サイズ:1×1】
262,テンビン,重さを計測するための器具。
【サイズ:1×1】
263,サンドボトル,砂を用いて時間を図る風変わりな時計。
【サイズ:1×1】
264,書斎ブック,詰みあがった洋書。
【サイズ:1×1】
265,サイエンスセット,魔剤の研究に使用される容器のセット。
【サイズ:1×1】
266,シックスツール,シックな丸椅子。
【サイズ:1×1】
267,シックチェア,シックな椅子。
【サイズ:1×1】【向き変更可】
268,シックデスク,シックな机。
【サイズ:1×1】
269,シックシェルフ,シックな本棚。
【サイズ:1×3】
270,シックミニシェルフ,シックな小型の本棚。
【サイズ:1×2】
271,シックチェスト,シックな収納家具。
【サイズ:1×3】
272,シックベッド,シックなベッド。
【サイズ:1×3】
273,ナチュラルチェア,ナチュラルな木製の椅子。
【サイズ:1×1】
274,ナチュラルデスク,ナチュラルな木製の机。
【サイズ:1×1】
275,ナチュラルベッド,ナチュラルな木製のベッド。
【サイズ:1×2】
276,ナチュラルシェルフ,ナチュラルな木製の本棚。
【サイズ:1×2】
277,ナチュラルクロゼット,ナチュラルな木製のクロゼット。
【サイズ:1×2】
278,ナチュラルテーブル,ナチュラルな木製の長テーブル。
【サイズ:2×1】【向き変更可】
279,ナチュラルラック,ナチュラルな木製の収納家具。
【サイズ:2×3】
280,ナチュラルラックB,ナチュラルな木製の収納家具。
【サイズ:2×3】
281,ナチュラルキッチン,ナチュラルな木製の調理台。
【サイズ:2×2】
282,ナチュラルダンロ,ナチュラルな旧式暖房器具。
【サイズ:3×3】
283,ナチュラルダブルベッド,ナチュラルな木製の大型ベッド。
【サイズ:2×3】
284,,
285,モダンチェア,モダンな上質の椅子。
【サイズ:1×1】【向き変更可】
286,モダンデスク,モダンな上質の机。
【サイズ:1×1】
287,モダンソファ,モダンな上質のソファ。
【サイズ:1×2】【向き変更可】
288,モダンシェルフ,モダンな上質の本棚。
【サイズ:1×2】
289,モダンキャビネット,モダンな上質のキャビネット。
【サイズ:1×2】
290,モダンラック,モダンな上質の収納家具。
【サイズ:2×3】
291,モダンラックB,モダンな上質の収納家具。
【サイズ:2×3】
292,モダンキッチン,モダンな上質の調理台。
【サイズ:2×2】
293,,
294,ビンテージミニチェア,古びた木製のスツール。
【サイズ:1×1】
295,ビンテージチェア,古びた木製の椅子。
【サイズ:1×1】【向き変更可】
296,ビンテージデスク,古びた木製の机。
【サイズ:1×1】
297,ビンテージベッド,古びた木製のベッド。
【サイズ:2×2】
298,ビンテージシェルフ,古びた木製の本棚。
【サイズ:1×2】
299,ビンテージクロゼット,古びた木製のクロゼット。
【サイズ:1×2】
300,ビンテージラック,古びた木製の収納家具。
【サイズ:2×3】
301,ビンテージラックB,古びた木製の収納家具。
【サイズ:2×3】
302,ビンテージキッチン,旧式の石製調理台。
【サイズ:2×2】
303,,
304,クラシックミニチェア,茶基調の上品なスツール。
【サイズ:1×1】
305,クラシックチェア,茶基調の上品な椅子。
【サイズ:1×1】【向き変更可】
306,クラシックデスク,茶基調の上品な机。
【サイズ:1×1】
307,クラシックベッド,茶基調の上品なベッド。
【サイズ:1×2】
308,クラシックシェルフ,茶基調の上品な本棚。
【サイズ:1×2】
309,クラシッククロゼット,茶基調の上品なクロゼット。
【サイズ:1×2】
310,クラシックテーブル,茶基調の上品なテーブル。
【サイズ:2×1】
311,クラシックワインセラー,茶基調の上品なワインセラー。
【サイズ:1×2】
312,クラシッククロック,茶基調の上品な振り子時計。
【サイズ:1×2】
313,クラシックストーブ,茶基調の上品な暖房器具。
【サイズ:3×2】
314,クラシックランプ,茶基調の上品なスタンドライト。
【サイズ:1×1】
315,クラシックカーテン,ワインレッド基調の上品なカーテン。
【サイズ:1×2】【タイプ変更可】
316,,
317,ロイヤルミニソファ,優美な装飾が目を引く小型ソファ。
【サイズ:1×1】
318,ロイヤルベッド,優美な装飾が目を引く大型ベッド。
【サイズ:2×3】
319,ロイヤルテーブル,優美な装飾が目を引くテーブル。
【サイズ:2×1】
320,ロイヤルソファ,優美な装飾が目を引くソファ。
【サイズ:2×1】【向き変更可】
321,ロイヤルラック,優美な装飾が目を引く収納家具。
【サイズ:1×2】
322,ロイヤルラージシェルフ,優美な装飾が目を引く横長の本棚。
【サイズ:2×3】
323,ロイヤルクロック,優美な装飾が目を引く振り子時計。
【サイズ:1×2】
324,ロイヤルサイドデスク,優美な装飾が目を引くサイドデスク。
【サイズ:1×1】
325,ロイヤルミニボックス,優美な装飾が目を引く小型の収納箱。
【サイズ:1×1】
326,ロイヤルカーテン,優美な装飾が目を引くカーテン付きの窓。
【サイズ:1×2】【タイプ変更可】
327,ロイヤルミラー,優美な装飾が目を引く大鏡。
【サイズ:1×2】
328,,
329,ミルクチェア,清潔感のある真っ白な椅子。
【サイズ:1×1】【向き変更可】
330,ミルクデスク,清潔感のある真っ白なミニデスク。
【サイズ:1×1】
331,ミルクベッド,清潔感のある真っ白な大型ベッド。
【サイズ:2×3】
332,ミルクテーブル,清潔感のある真っ白なテーブル。
【サイズ:2×1】【向き変更可】
333,ミルクローテーブル,清潔感のある真っ白なローテーブル。
【サイズ:2×1】【向き変更可】
334,ミルクソファ,清潔感のある真っ白なソファ。
【サイズ:2×1】【向き変更可】
335,ミルクボード,清潔感のある真っ白なボード。
【サイズ:2×1】
336,,
337,ミルクキャビネット,清潔感のある真っ白なキャビネット。
【サイズ:1×2】
338,ミルクフロアライト,清潔感のある真っ白な照明器具。
【サイズ:1×2】
339,ネオンチェア,ネオンライトがクールな椅子。
【サイズ:1×1】【向き変更可】
340,ネオンデスク,ネオンライトがクールなミニデスク。
【サイズ:1×1】
341,ネオンベッド,ネオンライトがクールな大型ベッド。
【サイズ:2×3】
342,ネオンテーブル,ネオンライトがクールなテーブル。
【サイズ:2×1】【向き変更可】
343,ネオンローテーブル,ネオンライトがクールなローテーブル。
【サイズ:2×1】【向き変更可】
344,ネオンソファ,ネオンライトがクールなソファ。
【サイズ:2×1】【向き変更可】
345,ネオンボード,ネオンライトがクールなボード。
【サイズ:2×1】
346,,
347,ネオンキャビネット,ネオンライトがクールなキャビネット。
【サイズ:1×2】
348,ネオンフロアライト,ネオンライトがクールな照明器具。
【サイズ:1×2】
349,マインディーシート,MDCR本社内で使用されていた無骨な椅子。
【サイズ:1×2】【向き変更可】
350,マインディーテーブル,MDCR本社内で使用されていた無骨なテーブル。
【サイズ:2×1】【向き変更可】
351,マインディークロゼット,MDCR本社内で使用されていた無骨なクロゼット。
【サイズ:1×2】
352,マインディーデバイス,MDCR本社内で使用されていた無骨な制御装置。
【サイズ:1×2】
353,マインディーデバイスB,MDCR本社内で使用されていた無骨な制御装置。
【サイズ:1×2】
354,マインディーデバイスC,MDCR本社内で使用されていた無骨な制御装置。
【サイズ:1×2】
355,マインディーコンソール,MDCR本社内で使用されていた無骨な制御装置。
【サイズ:2×1】【向き変更可】
356,マインディーディスプレイ,MDCR本社内で使用されていた無骨な液晶機器。
【サイズ:2×2】
357,マインディーターミナル,MDCR本社内で使用されていた無骨な操作端末。
【サイズ:2×2】
358,スティールチューブ,工場のような雰囲気を醸し出す鉄製チューブ。
【サイズ:1×2】
359,エレクトロタンク,素人が触ったら感電しそうな蓄電装置。
