【物:\I[6120]】【確定命中】\C[21]【ｸｰﾙﾀｲﾑ:1】,はショコラパニッシャーを放った！,
62,ﾌｪﾐﾆｱ･ﾒﾃﾞｨｼﾝ,味方全員の女子力を強化する。,はﾌｪﾐﾆｱ･ﾒﾃﾞｨｼﾝを使った！,
63,ケツ穴ガトリング,ガトリングを敵全体にぶっぱなす
【物:\I[6142]】,「ケツの穴かっぽじってよく聞け！,
64,フューネラルスコール,無数の刃の翼で敵全体を斬り裂く。APPを多く取得できる。
【魔:\I[6141]】【ｲﾝﾌﾙ付与(50%)】,のフューネラルスコール！,
65,アブソリュート・ゲロ,闇夜の刃で全体攻撃。自身がインフル時 威力2倍
【魔:\I[6141]】\C[21]【ｸｰﾙﾀｲﾑ:1】,闇夜の刃が敵を両断する！,
66,マネーラッシュ,ランダムで2回攻撃する。
【物:\I[6142]】,「金欲しい,
67,ユリユリブレス,高熱のブレスで敵を焼き尽くす。
【魔:\I[6120]】,はユリユリブレスを放った！,
68,リロード,次のターンの攻撃力が大きく上昇する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,はリロードした！,
69,エムギフト,味方全員のMPを30%回復する。
,はエムギフトを唱えた！,
70,アプルギフト,味方一人のAPPを15チャージする。
\C[21]【ｸｰﾙﾀｲﾑ:1】,はアプルギフトを唱えた！,
71,バリバリカッター,凍結魔法の暴走で敵を貫く。会心の一撃が出やすい。
【物:\I[6124]】\C[21]【ｸｰﾙﾀｲﾑ:3】,のバリバリカッターが敵を貫く！,
72,死神化解除,,はチカラを使い果たした！,
73,早くお休みのキスして,,「早くお休みのキスして,
74,ラヴ・メイク,味方一人に異常ステート無効、敵から狙われにくくなる。
コピックを 1つ消費する。【所持数:\IN[19]】,はコピックを顔面に塗りたくった！,
75,紅血の挑発,残存HPの半分の自傷ダメージでマジ覚突入。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:6】,の紅血の挑発！,
76,ラヴ・ストライク,神速のステップから繰り出す乱打で攻撃。
【物:\I[6123]】【スタン付与(30%)】,はラヴ・ストライクを放った！,
77,ラヴ・セラピー,味方全体の全異常ステートを回復する。(ﾃﾞﾌﾞ除く),「あったかいなぁ・・・(愛を知る,
78,ラヴ・ストレート,愛の正拳突き。会心が出やすいが 威力のブレが大きい。
【物:\I[6142]】,のラヴ・ストレート！,
79,ラヴ・マシンガン,敵を選ばず疾風怒涛の五連撃。
【物:\I[6123]】,のラヴ・マシンガン！！,
80,ラヴ・ドライヴ,チャリで爆走する。反動で最大HPの8%ダメージ。
【物:\I[6142]】,のラヴ・ドライヴ！！,
81,ヘヴンズ・ヒール,味方全員のHPを60%回復し、
状態異常・能力弱体を回復する。\C[21]【ｸｰﾙﾀｲﾑ:1】,はヘヴンズ・ヒールを唱えた！,
82,ハイパー・ヴィジョン,2ﾀｰﾝの間 回避率が100%になり、 敏捷･会心が大幅上昇
MP 消費量が半分になる。\C[21]【ｸｰﾙﾀｲﾑ:5】,はヴィジョンに突入した！,
83,夢幻神威,すこしチカラを込めて攻撃。確率でマジ覚突入(50%)
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:5】,の夢幻神威！！,
84,マジ覚突入,,,
85,ホモビ・カリバー,究極の一撃で敵一体を粛正する。
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:6】,はホモビ・カリバーを放った！,
86,200ダメージ,,は壁に衝突した！,
87,ドMウォール,敵から 狙われやすくなる。被ダメージ20%減
【先制】,のドMウォール！,
88,ふっざけんなよクソババア,チャクラムを投げて攻撃。確率で相手の防御を下げる。
【物:\I[6123]】,「すっこんでろよ！！！！,
89,ぷぷぷぷーん！！,大量のざくろが敵をボコボコにする。ピンチ時 威力2倍
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:1】,「ぷぷぷぷーん！だぞぉ！？,
90,無双天誅,ランダムの3連攻撃で敵を破壊する。
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:3】,の無双天誅！！,
91,人々チョップ,味方全体の全異常ステートを回復する。,「人々～～！？,
92,アプルギフト,味方一人のAPPを15チャージする。,はアプルギフトを唱えた！,
93,慢心って言葉知ってる？,武器を投げずに切り刻む。当たれば会心の一撃。
【物:\I[6142]】,の狙いすました一撃！,
94,エッフェルソード,鮮やかな剣技でカウンター不能の攻撃。
【物:\I[6142]】【ｽﾀﾝ付与(20%)】,はエッフェルソードを放った！,
95,アラサークッキング,ランダムで様々な効果をもたらす。,のアラサークッキング！,
96,シチューのようなもの,,はシチューのようなものを作った！,
97,アイアンニンジン,,はアイアンニンジンを作った！,
98,和っていいなあ,,「あ、これキログラムじゃなくてグラムか,
99,ひっくり返し損ねたパンケーキ,,はパンケーキのようなものを作った！,
100,柏餅のようなもの,,は柏餅のようなものを作った！,
101,ダンシングルンバ,敵を選ばず華麗な五連撃。
【物:\I[6123]】,のダンシングルンバ！,
102,アンコールバグ,自慢の声量で敵を 吹き飛ばす。APPを多く取得できる。
【魔:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:1】,のアンコールバグ！,
103,まいどかけごはん,,はまいどかけごはんを作った！,
104,野菜炒めのようなもの,,は野菜炒めのようなものを作った！,
105,割り箸に勝ったカツ,,は割り箸に勝ったカツを作った！,
106,サルバト・レイ,渾身の目からビームを放つ。使用後に自身の攻撃力が上昇
【魔:\I[6125]】,の目が光り輝いた・・・！,
107,アスフィクシア,1ターンだけ敵一体の被ダメージが1.5倍になる。
【超先制】【鉄壁破壊】\C[21]【ｸｰﾙﾀｲﾑ:5】,はアスフィクシアを放った！,
108,テクノリバイブ,味方一人をHP半分で蘇生する。,はテクノリバイブを唱えた！,
109,ゲロリオの祈り,味方一人をHP全回復蘇生する。,はゲロリオの祈りを唱えた！,
110,Welcome to the darkness world,\C[10]-ｳｪﾙｶﾑ･ﾄｩ･ｻﾞ･ﾀﾞｰｸﾈｽﾜｰﾙﾄﾞ-
封じた闇のチカラを解放する。\C[0]【3ターン持続】【後攻】,「闇に堕ちてテメェを殺す・・・！！,
111,Fate rejection,\C[10]-ﾌｪｲﾄ･ﾘｼﾞｪｸｼｮﾝ-
ありったけの銃器で 絶対的な火力の攻撃,「遠慮せずに持ってけ！！,
112,Please ask anything,\C[10]-ﾌﾟﾘｰｽﾞ･ｱｽｸ･ｴﾆｼﾝｸﾞ-
味方全員をマジ覚突入させる。\C[0]【先制】,「何でも質問してください！！,
113,Go to hell,\C[10]-ｺﾞｰ･ﾄｩｰ･ﾍﾙ-
遊びは終わりだ。\C[0]【発動APP固定】【後攻】,「死ね,
114,Amazonic satellite,\C[10]-ｱﾏｿﾞﾆｯｸ･ｻﾃﾗｲﾄ-
いきりたったその聖槍は天を穿ち大地を焼き払う。,「さよならッハッハッハァーー！！,
115,Dandyism ramen,\C[10]-ﾀﾞﾝﾃﾞｨｽﾞﾑ･ﾗｰﾒﾝ-
味方全員を全回復、ｸｰﾙﾀｲﾑ1減少\C[0]【超先制】,「これが漢の一品だ！！,
116,ホモビ・カリバー,究極の一撃で敵一体を粛正する。
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:6】,はホモビ・カリバーを放った！,
117,ハードスタンプ,敵一体にHARDな一撃。マシン系の相手に威力1.5倍
【物:\I[6142]】【故障付与(30%)】,はハードスタンプを放った！,
118,ウーファーインパクト,響き渡る低音を叩き付け、MPを回復する。
【物:\I[6142]】【頭痛付与(30%)】,はウーファーインパクトを放った！,
119,スーパーダイナミクス,生存人数に応じた量のAPPを味方全体に分配する。
\C[21]【ｸｰﾙﾀｲﾑ:4】,のスーパーダイナミクス！,
120,ワンショットフロア,敵全員に自慢のKickで二段攻撃。APPを多く取得できる。
【魔:\I[6142]】,はワンショットフロアを放った！,
121,グロウルパーリー,フロアを沸かして攻撃。残存APPが多いほど威力上昇
【魔:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:2】,のグロウルパーリ―！,
122,クレイジーハイボール,酒の力で攻撃、敏捷が倍になるが、言う事をきかなくなる
\C[21]【ｸｰﾙﾀｲﾑ:4】,「禁酒します！,
123,マッドキラーマシン,高出力の音圧で観客と敵を吹き飛ばす。
【魔:\I[6120]】【味方マジ覚突入(50%)】\C[21]【ｸｰﾙﾀｲﾑ:4】,のKILLER MACHINEが戦場に響き渡る！,
124,酔っ払い攻撃,敵一体にHardなKickをお見舞いする。
ロボット系のエネミーに大ダメージ。,は酔っぱらっている！,
125,爆破攻撃,,爆風が敵を巻き込んだ！,
126,氷虎ひおうぎ,\C[10]味方全員のHP,MPを全回復し、
状態異常を解除する。\C[0]【先制発動】,最強のラーメンが傷をいやす・・・！,
127,クールタイム,,クールタイムが 1減少！,
128,あぶゲロ3,暗黒の力で全体攻撃。自身がインフルの時威力2倍
発動後、状態異常を回復する。\C[21]【ｸｰﾙﾀｲﾑ:3】,のアブソリュート・ゲロ！！,
129,,,,
130,シュガシュガボンバー,空気に触れると爆発する魔剤を敵全体に投げつける
高確率でヤク漬けにする。,,
131,ファンタジア・ブレイク,1ターンだけ敵一体の被ダメージが1.5倍になる。
【鉄壁解除効果】【超先制】\C[21]【ｸｰﾙﾀｲﾑ:5】,のファンタジア・ブレイク！,
132,サルバト・レイ2,敵単体に渾身の目からビーム!!
使用後、自身の攻撃力が上昇する。,はサルバト・レイを放った！,
133,,,,
134,,,,
135,バイトインペイル,敵全体に 2段攻撃を放つ
APPを多く回収できる,「あ～バイトバイトバイト,
136,吸収,,,
137,,,,
138,ビエンザン,ハサミを分断し 敵を斬り裂く。
【物:\I[6142]】【防御弱体付与(50%)】,はビエンザンを放った！,
139,キメキメハリケーン,すてきな葉っぱで攻撃。ヤク漬の相手に威力1.5倍
【物:\I[6123]】,はキメキメハリケーンを放った！,
140,スニーズショック,破壊的なくしゃみで敵全員を高確率で怯ませる。
【ｽﾀﾝ付与(70%)】,はスニーズショックを放った！,
141,シリンジスコール,大型の注射器を射出し、敵全体を爆破させる。
【物:\I[6142]】【ヤク付与(65%)】,はシリンジスコールを放った！,
142,サイコリーパー,二刀に持ち替え 怒涛の連撃。防御0の相手に威力2倍
【物:\I[6142]】\C[21]【ｸｰﾙﾀｲﾑ:1】,のサイコリーパー！,
143,,,,
144,,,,
145,Lv.1  HP+,最大HP+33,,
146,Lv.2 HP+,最大HP+33,,
147,Lv.3 HP+,最大HP+33,,
148,Lv.4 HP+,最大HP+33,,
149,Lv.5 HP+,最大HP+50,,
150,,,,
151,Lv.1  MP+,最大MP+13,,
152,Lv.2 MP+,最大MP+13,,
153,Lv.3 MP+,最大MP+13,,
154,Lv.4 MP+,最大MP+13,,
155,Lv.5 MP+,最大MP+30,,
156,,,,
157,Lv.1  ATK+,攻撃力+6,,
158,Lv.2 ATK+,攻撃力+6,,
159,Lv.3 ATK+,攻撃力+6,,
160,Lv.4 ATK+,攻撃力+6,,
161,Lv.5 ATK+,攻撃力+12,,
162,,,,
163,Lv.1  DEF+,防御力+6,,
164,Lv.2 DEF+,防御力+6,,
165,Lv.3 DEF+,防御力+6,,
166,Lv.4 DEF+,防御力+6,,
167,Lv.5 DEF+,防御力+12,,
168,,,,
169,Lv.1  AGI+,敏捷性+6,,
170,Lv.2 AGI+,敏捷性+6,,
171,Lv.3 AGI+,敏捷性+6,,
172,Lv.4 AGI+,敏捷性+6,,
173,Lv.5 AGI+,敏捷性+12,,
174,,,,
175,ﾌｨﾌﾃｨｰﾝ･ｱｯﾌﾟﾙ支援,味方全員に自動HP回復の能力を付与する。
【使用者除外】,はリンゴジュースを注文した！,
176,ラヴ・セラピー支援,味方全体の全異常ステートを回復する。
消費MP:7,,「あったかいなぁ・・・(愛を知る
177,ラヴ・ストライク,敵一体をボコボコにする
【威力:280】 消費APP:20,はラヴ・ストライクを放った！,
178,スパーリングボム,全体攻撃,のスパーリングボム！,
179,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
180,カエシタラー,,はカエシタラーを唱えた！,
181,クレオパトラ,,,「クレオパトラって国じゃないの？
182,アホじゃない,,,「Venきなこはアホじゃないです！
183,リブロ,,はリブロを唱えた！,
184,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
185,本命ガン堀ミサイル,,は一斉にミサイルを放った！,
186,ｷｭｰﾃｨｰﾊﾞﾚﾝﾀｲﾝ,,のバレンタインクラッシュ！,
187,ガンボリミサイル,,はガンボリミサイルを放った！,
188,ドマイド,聖なる力で自身のHPを350回復する,,「まいどまいどまいどあああああああああ！！！！！！」
189,ラヴ・ストレート支援,威力の上下が大きいが、会心率が高い。
【威力:等倍】消費MP:6,,「心が無ければまいどは出来ぬ！
190,マイドニックレーザー,,のマイドニックレーザー！,
191,破壊コード[TAKAKO],,は破壊コード[TAKAKO]を放った！,
192,,,,
193,自動修復,,の自動修復システム！,
194,,,,
195,溜め,,はエネルギーをチャージしている！,
196,攻撃強化,,「ごちそうさまでした！,
197,捕食,,の捕食!,
198,捕食,,の捕食!,
199,装填毒,使用した次のターンの攻撃時、
威力を強化し、高確率でヤク漬けにする。,は装填毒を使った！,
200,ツァーリ自爆１,,の身体が光り輝いた！,
201,ツァーリ自爆２,,は自爆した！,
202,ふらふら,,はふらふらしている。,
203,退職,敵キャラの行動用。使用者が戦闘から離脱する。,は砕け散った！,
204,CSキル,,,
205,,,,
206,HARD MODE,,,
207,TRIAL,HP170 MP70 etc34,,
208,,,,
209,状態異常回復,,,
210,反動,,は反動でダメージを受けた！,
211,NEXT,更なるステータス強化が解除され、
【SPステータス】が解放可能になる。,,
212,Lv.1  ALL+,全能力値+8,,
213,Lv.2 ALL+,全能力値+8,,
214,Lv.3 ALL+,全能力値+8,,
215,Lv.4 ALL+,全能力値+8,,
216,Lv.5 ALL+,全能力値+16,,
217,,,,
218,,,,
219,,,,
220,ネオーチ,,はネオーチを唱えた！,
221,ポヤシミー,,はポヤシミーを唱えた！,
222,ダルーイ,,はダルーイを唱えた！,
223,ヘンズーツ,,はヘンズーツを唱えた！,
224,ダマーレ,,はダマーレを唱えた！,
225,ダマランカ,,はダマランカを唱えた！,
226,ギマーリ,,はギマーリを唱えた！,
227,ガンギマーリ,,はガンギマーリを唱えた！,
228,ビネーツ,,はビネーツを唱えた！,
229,アカンヤーツ,,はアカンヤーツを唱えた！,
230,ネブソーク,,はネブソークを唱えた！,
231,クソネブソーク,,はネブソークを唱えた！,
232,絶叫,,は絶叫した！,
233,メガボンバー,,はメガボンバーを放った！,
234,攻撃刀,敵単体にダメージを与える。
(会心対応),の攻撃！,
235,様子を見ている,,はようすを見ている。,
236,うかれ,,は浮かれている！,
237,鬱,,はため息をついている。,
238,ぬめぬめ,,はヌメヌメしている。,
239,,,,
240,boss攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
241,boss攻撃2,敵単体にダメージを与える。
(会心対応),の攻撃！,
242,boss攻撃3,敵単体にダメージを与える。
(会心対応),の攻撃！,
243,,,,
244,捕食者攻撃,,の攻撃！,
245,,,,
246,パンティーガード,敵から 狙われやすくなる。被ダメージ20%減
【先制】,はパンティーガードの構えをとった！,
247,ホーデンスティング,スラスターの推力で突撃する。
【物:\I[6142]】【先制】【ｽﾀﾝ付与(30%)】,はホーデンスティングを放った！,
248,ヌサクソスラスト,えがいたナイトが 四段攻撃。(メタルボディ特効)
【物:\I[6142]】,のえがいた絵が実体を成す！,
249,タマキンジェノサイド,当たれば会心の一撃。防御中の敵に威力3倍
【物:\I[6142]】,の狙いすました一撃！,
250,パンツサンバスター,機械槍から超出力の粒子砲を発射！
【魔:\I[6125]】\C[21]【ｸｰﾙﾀｲﾑ:6】,のパンツサンバスター！！,
251,エッチプロテクション,使用ターンの間、味方全員にダメージ無効バリアを展開。
【先制】 \C[21]【ｸｰﾙﾀｲﾑ:3】,はエッチプロテクションを唱えた！,
252,,,,
253,エムシールド,味方全員の魔法耐性を上げるシールドを展開する。,はエムシールドを唱えた！,
254,バスター2,,,
255,ロリア・ライトニング,敵一体に強力な魔法攻撃。,はロリア・ライトニングを唱えた！,
256,,,,
257,ヘヴンズ・ヒール,全員のHPを60%回復し、状態異常・弱体を回復する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,はヘヴンズ・ヒールを唱えた！,
258,アイシクルページ,全体に氷撃属性の攻撃。APPを多く取得できる。
【魔:\I[6124]】,はアイシクルページを唱えた！,
259,デルージページ,全体に水撃属性の攻撃。APPを多く取得できる。
【魔:\I[6121]】,はデルージページを唱えた！,
260,メルヘンズ・スター,全体に魔法陣を展開し強力な魔法攻撃。
【魔:\I[6142]】【目潰し付与(30%)】,はメルヘンズ・スターを唱えた！,
261,ロリア・ライトニング,敵一体に強力なポメパワーで攻撃。
【魔:\I[6122]】\C[21]【ｸｰﾙﾀｲﾑ:1】,はロリア・ライトニングを唱えた！,
262,ファンタジア・ブレイク,1ターンだけ敵一体の被ダメージが1.5倍になる。
【超先制】【鉄壁破壊】\C[21]【ｸｰﾙﾀｲﾑ:5】,のファンタジア・ブレイク！,
263,,,,
264,ヌサクソスラスト2,,,
265,アイシクルページ2,全体に氷撃属性の攻撃。APPを多く取得できる。
【魔:\I[6125]】,,
266,デルージページ2,全体に水撃属性の攻撃。APPを多く取得できる。
【魔:\I[6125]】,,
267,,,,
268,詠唱,攻撃力が1.5倍上昇し、APPを15ﾁｬｰｼﾞする。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は詠唱した！,
269,,,,
270,お土産ソーセージ,攻撃力+8　獲得EXP+20%,,
271,マスタべ野菜炒め,最大HP+60　獲得EXP+20%,,
272,ｷﾝｼｭ貝のｵｲﾙづけ,最大MP+30　獲得EXP+20%,,
273,ハリボーパエリア,防御力+8　獲得EXP+20%,,
274,ｵｻﾙﾎﾟﾃﾄの冷製ｽｰﾌﾟ,敏捷性+12　獲得EXP+20%,,
275,ｼｸﾞﾏｸﾞﾛとﾛﾘﾄﾏﾄのﾏﾘﾈ,ドロップ率+16%　獲得EXP+50%,,
276,百合豚の角煮,女子力+20%　獲得EXP+20%,,
277,スマヌーステーキ,攻撃力+16　獲得EXP+20%,,
278,バンジーシチュー,防御力+16　獲得EXP+20%,,
279,,アイテムドロップ率上昇中！,,
280,ｺｹﾞﾀｶﾌﾞのﾗﾋﾞｵﾘ,回避率+12%　獲得EXP+20%,,
281,チョコノミヤキ,会心率+14%　獲得EXP+20%,,
282,ﾛﾘｼｮﾀﾍﾌﾞﾝﾊﾟﾌｪ,被ダメージ-14%　獲得EXP+50%,,
283,ﾃﾞｱｴﾙｽﾃｰｷ･ｸﾞﾗﾝﾃﾞ,攻撃力+40　マジ覚突入率+100%　獲得EXP+50%,,
284,ﾜﾝﾊﾟｺ挽肉のﾇﾏｿｰｽ,毎ターンHP 8%回復　獲得EXP+50%,,
285,魚介とﾄﾏﾄのﾆﾃﾂ盛り,毎ターンMP 8%回復　獲得EXP+50%,,
286,バチバチゲラカレー,魔法ダメージ25%カット　獲得EXP+50%,,
287,段取りﾁｷﾝのﾚﾓﾝｿﾃｰ,獲得ゲラ+12%　獲得EXP+50%,,
288,強制終了ミートパイ,獲得ゲラ+12%　獲得EXP+100%,,
289,ランチバフ(),反撃率上昇中！,,
290,ﾃﾞｱｴﾙｽﾃｰｷ･ｸﾞﾗﾝﾃﾞ(大),攻撃力+60　マジ覚突入率+100％　獲得EXP+50%,,
291,ランチバフ(),獲得ゲラ上昇中！,,
292,,,,
293,戦闘中トロフィー,,\C[3]トロフィー獲得！！,
294,2回攻撃,ランダムに2回攻撃
【物:\I[6142]】,の素早い連続攻撃！,
295,,,,
296,ｻﾝｻﾞｲﾊﾆｰの焼きﾘﾝｺﾞ,防御力+30　獲得EXP+50%
自動蘇生効果付加 (黄アイコン残留時),,
297,,,,
298,,,,
299,【未使用】,,,
300,,,,
301,,,,
302,,,,
303,黒歴史,,を全国ネット配信した！,
304,暴力SP,敵単体にダメージを与える。
(会心対応),の攻撃！,
305,FUCK,,の英会話！,「F○ck You」
306,暴力ｈｍｂ,敵単体にダメージを与える。,の暴力！,
307,一抜き,味方全員HP250回復,,「ここで一抜き」
308,,,,
309,ドシコマイド,\I[6561]聖なる力で味方全員のHPを300回復する
消費MP:20,はドシコマイドを唱えた！,
310,,,,
311,メカメプリズン,,のメカメプリズン！,
312,おどおど,,はおどおどしている・・・,
313,ワカメの知識,,「ワカメは、世界の侵略的外来種,ワースト100 (IUCN, 2000) 選定種の1つである。
